Category: All categories

Week,Asian cuisine: (United States)
2014-04-20,53
2014-04-27,56
2014-05-04,55
2014-05-11,54
2014-05-18,57
2014-05-25,59
2014-06-01,58
2014-06-08,56
2014-06-15,57
2014-06-22,55
2014-06-29,59
2014-07-06,60
2014-07-13,59
2014-07-20,64
2014-07-27,60
2014-08-03,59
2014-08-10,59
2014-08-17,56
2014-08-24,54
2014-08-31,58
2014-09-07,53
2014-09-14,53
2014-09-21,55
2014-09-28,51
2014-10-05,51
2014-10-12,53
2014-10-19,52
2014-10-26,51
2014-11-02,53
2014-11-09,54
2014-11-16,50
2014-11-23,48
2014-11-30,48
2014-12-07,50
2014-12-14,50
2014-12-21,66
2014-12-28,69
2015-01-04,63
2015-01-11,59
2015-01-18,59
2015-01-25,60
2015-02-01,58
2015-02-08,58
2015-02-15,62
2015-02-22,56
2015-03-01,58
2015-03-08,58
2015-03-15,56
2015-03-22,56
2015-03-29,58
2015-04-05,52
2015-04-12,53
2015-04-19,56
2015-04-26,54
2015-05-03,54
2015-05-10,55
2015-05-17,56
2015-05-24,56
2015-05-31,56
2015-06-07,61
2015-06-14,59
2015-06-21,62
2015-06-28,68
2015-07-05,66
2015-07-12,62
2015-07-19,66
2015-07-26,68
2015-08-02,62
2015-08-09,66
2015-08-16,63
2015-08-23,61
2015-08-30,59
2015-09-06,62
2015-09-13,55
2015-09-20,54
2015-09-27,56
2015-10-04,56
2015-10-11,55
2015-10-18,54
2015-10-25,52
2015-11-01,56
2015-11-08,53
2015-11-15,53
2015-11-22,53
2015-11-29,50
2015-12-06,51
2015-12-13,56
2015-12-20,67
2015-12-27,73
2016-01-03,68
2016-01-10,68
2016-01-17,67
2016-01-24,66
2016-01-31,69
2016-02-07,64
2016-02-14,68
2016-02-21,66
2016-02-28,63
2016-03-06,63
2016-03-13,61
2016-03-20,67
2016-03-27,64
2016-04-03,66
2016-04-10,66
2016-04-17,63
2016-04-24,65
2016-05-01,65
2016-05-08,65
2016-05-15,65
2016-05-22,69
2016-05-29,69
2016-06-05,67
2016-06-12,69
2016-06-19,65
2016-06-26,69
2016-07-03,73
2016-07-10,68
2016-07-17,68
2016-07-24,70
2016-07-31,65
2016-08-07,65
2016-08-14,66
2016-08-21,66
2016-08-28,66
2016-09-04,66
2016-09-11,61
2016-09-18,61
2016-09-25,61
2016-10-02,59
2016-10-09,63
2016-10-16,62
2016-10-23,60
2016-10-30,61
2016-11-06,57
2016-11-13,58
2016-11-20,60
2016-11-27,58
2016-12-04,57
2016-12-11,57
2016-12-18,70
2016-12-25,78
2017-01-01,76
2017-01-08,73
2017-01-15,73
2017-01-22,71
2017-01-29,70
2017-02-05,67
2017-02-12,67
2017-02-19,71
2017-02-26,69
2017-03-05,69
2017-03-12,70
2017-03-19,71
2017-03-26,69
2017-04-02,68
2017-04-09,70
2017-04-16,64
2017-04-23,65
2017-04-30,66
2017-05-07,69
2017-05-14,68
2017-05-21,69
2017-05-28,71
2017-06-04,71
2017-06-11,70
2017-06-18,74
2017-06-25,75
2017-07-02,83
2017-07-09,74
2017-07-16,78
2017-07-23,79
2017-07-30,76
2017-08-06,78
2017-08-13,74
2017-08-20,70
2017-08-27,67
2017-09-03,70
2017-09-10,63
2017-09-17,65
2017-09-24,66
2017-10-01,65
2017-10-08,67
2017-10-15,63
2017-10-22,63
2017-10-29,65
2017-11-05,66
2017-11-12,64
2017-11-19,64
2017-11-26,62
2017-12-03,64
2017-12-10,64
2017-12-17,74
2017-12-24,84
2017-12-31,85
2018-01-07,77
2018-01-14,79
2018-01-21,75
2018-01-28,78
2018-02-04,74
2018-02-11,76
2018-02-18,79
2018-02-25,75
2018-03-04,75
2018-03-11,75
2018-03-18,74
2018-03-25,77
2018-04-01,76
2018-04-08,75
2018-04-15,75
2018-04-22,73
2018-04-29,69
2018-05-06,72
2018-05-13,72
2018-05-20,75
2018-05-27,78
2018-06-03,79
2018-06-10,82
2018-06-17,78
2018-06-24,80
2018-07-01,89
2018-07-08,86
2018-07-15,86
2018-07-22,84
2018-07-29,88
2018-08-05,85
2018-08-12,83
2018-08-19,83
2018-08-26,79
2018-09-02,83
2018-09-09,74
2018-09-16,75
2018-09-23,77
2018-09-30,75
2018-10-07,76
2018-10-14,76
2018-10-21,72
2018-10-28,74
2018-11-04,75
2018-11-11,74
2018-11-18,76
2018-11-25,69
2018-12-02,73
2018-12-09,75
2018-12-16,81
2018-12-23,100
2018-12-30,99
2019-01-06,86
2019-01-13,87
2019-01-20,86
2019-01-27,86
2019-02-03,86
2019-02-10,85
2019-02-17,90
2019-02-24,85
2019-03-03,83
2019-03-10,85
2019-03-17,87
2019-03-24,84
2019-03-31,84
2019-04-07,80
2019-04-14,87
