Category: All categories

Month,Pizza: (United States)
2004-01,19
2004-02,19
2004-03,18
2004-04,18
2004-05,18
2004-06,18
2004-07,19
2004-08,19
2004-09,19
2004-10,20
2004-11,20
2004-12,21
2005-01,21
2005-02,22
2005-03,22
2005-04,23
2005-05,22
2005-06,22
2005-07,24
2005-08,23
2005-09,23
2005-10,26
2005-11,24
2005-12,26
2006-01,25
2006-02,27
2006-03,26
2006-04,25
2006-05,25
2006-06,26
2006-07,28
2006-08,27
2006-09,30
2006-10,30
2006-11,30
2006-12,31
2007-01,32
2007-02,34
2007-03,31
2007-04,31
2007-05,30
2007-06,32
2007-07,33
2007-08,32
2007-09,34
2007-10,33
2007-11,34
2007-12,36
2008-01,35
2008-02,35
2008-03,35
2008-04,34
2008-05,36
2008-06,34
2008-07,34
2008-08,35
2008-09,33
2008-10,34
2008-11,34
2008-12,36
2009-01,38
2009-02,35
2009-03,35
2009-04,35
2009-05,35
2009-06,35
2009-07,35
2009-08,34
2009-09,33
2009-10,34
2009-11,34
2009-12,36
2010-01,39
2010-02,37
2010-03,35
2010-04,35
2010-05,36
2010-06,37
2010-07,44
2010-08,44
2010-09,44
2010-10,45
2010-11,42
2010-12,48
2011-01,57
2011-02,57
2011-03,53
2011-04,56
2011-05,56
2011-06,57
2011-07,61
2011-08,59
2011-09,59
2011-10,61
2011-11,62
2011-12,66
2012-01,61
2012-02,60
2012-03,59
2012-04,60
2012-05,58
2012-06,62
2012-07,63
2012-08,59
2012-09,60
2012-10,54
2012-11,55
2012-12,62
2013-01,59
2013-02,59
2013-03,60
2013-04,59
2013-05,61
2013-06,68
2013-07,65
2013-08,61
2013-09,61
2013-10,59
2013-11,63
2013-12,62
2014-01,64
2014-02,63
2014-03,65
2014-04,61
2014-05,63
2014-06,63
2014-07,64
2014-08,65
2014-09,61
2014-10,61
2014-11,64
2014-12,65
2015-01,65
2015-02,66
2015-03,62
2015-04,62
2015-05,64
2015-06,68
2015-07,71
2015-08,69
2015-09,65
2015-10,65
2015-11,63
2015-12,67
2016-01,87
2016-02,89
2016-03,83
2016-04,85
2016-05,87
2016-06,92
2016-07,96
2016-08,86
2016-09,81
2016-10,85
2016-11,82
2016-12,93
2017-01,83
2017-02,89
2017-03,88
2017-04,87
2017-05,85
2017-06,94
2017-07,100
2017-08,89
2017-09,89
2017-10,83
2017-11,83
2017-12,93
2018-01,87
2018-02,90
2018-03,91
2018-04,88
2018-05,87
2018-06,96
2018-07,97
2018-08,93
2018-09,89
2018-10,84
2018-11,86
2018-12,96
2019-01,88
2019-02,98
2019-03,98
2019-04,85
