Category: All categories

Month,Pizza: (Worldwide)
2004-01,27
2004-02,27
2004-03,26
2004-04,26
2004-05,26
2004-06,25
2004-07,27
2004-08,27
2004-09,27
2004-10,29
2004-11,28
2004-12,30
2005-01,31
2005-02,33
2005-03,31
2005-04,31
2005-05,30
2005-06,30
2005-07,34
2005-08,32
2005-09,32
2005-10,35
2005-11,33
2005-12,36
2006-01,35
2006-02,37
2006-03,35
2006-04,36
2006-05,34
2006-06,35
2006-07,37
2006-08,37
2006-09,36
2006-10,37
2006-11,38
2006-12,41
2007-01,40
2007-02,42
2007-03,40
2007-04,40
2007-05,38
2007-06,39
2007-07,43
2007-08,41
2007-09,41
2007-10,42
2007-11,42
2007-12,46
2008-01,43
2008-02,44
2008-03,44
2008-04,43
2008-05,46
2008-06,45
2008-07,43
2008-08,46
2008-09,43
2008-10,44
2008-11,44
2008-12,47
2009-01,49
2009-02,47
2009-03,46
2009-04,47
2009-05,46
2009-06,46
2009-07,48
2009-08,47
2009-09,46
2009-10,48
2009-11,46
2009-12,49
2010-01,52
2010-02,52
2010-03,47
2010-04,47
2010-05,49
2010-06,48
2010-07,56
2010-08,57
2010-09,56
2010-10,57
2010-11,57
2010-12,62
2011-01,62
2011-02,62
2011-03,58
2011-04,62
2011-05,60
2011-06,62
2011-07,67
2011-08,65
2011-09,62
2011-10,66
2011-11,64
2011-12,71
2012-01,68
2012-02,67
2012-03,63
2012-04,65
2012-05,62
2012-06,66
2012-07,66
2012-08,66
2012-09,66
2012-10,62
2012-11,62
2012-12,69
2013-01,64
2013-02,68
2013-03,65
2013-04,64
2013-05,66
2013-06,69
2013-07,68
2013-08,69
2013-09,65
2013-10,65
2013-11,69
2013-12,69
2014-01,70
2014-02,68
2014-03,70
2014-04,70
2014-05,67
2014-06,68
2014-07,71
2014-08,72
2014-09,67
2014-10,69
2014-11,71
2014-12,72
2015-01,73
2015-02,75
2015-03,72
2015-04,71
2015-05,76
2015-06,74
2015-07,77
2015-08,78
2015-09,73
2015-10,74
2015-11,74
2015-12,80
2016-01,87
2016-02,86
2016-03,85
2016-04,85
2016-05,86
2016-06,87
2016-07,93
2016-08,84
2016-09,83
2016-10,87
2016-11,83
2016-12,95
2017-01,88
2017-02,91
2017-03,88
2017-04,91
2017-05,87
2017-06,95
2017-07,97
2017-08,93
2017-09,92
2017-10,88
2017-11,88
2017-12,100
2018-01,90
2018-02,90
2018-03,94
2018-04,89
2018-05,89
2018-06,95
2018-07,95
2018-08,93
2018-09,90
2018-10,86
2018-11,88
2018-12,96
2019-01,90
2019-02,95
2019-03,96
2019-04,89
